;class;text;username;password
;;;;
1;"Neg,""orang gila disuruh ikut nyoblos.. Berarti mereka berhak dong untuk daftar jadi presiden... Sebenarnya siapa sih yang gila.. Aku mah gk mau pny presiden org gila #prabowosandi #Presidenku"",@Abysatria,15/12/2018";;;
2;"Neg,""Kalau udh otak nya ke bawah nggak bakal bisa lagi yg nama jujr bg hati nya udh ketutup sma gemerlap nya dunia.. #prabowosandi2019 #Presidenku"",@Bambang41054831,09/12/2018";;;
3;"Neg,""Jika benar penyelenggara pilpres memberikan contekan pertanyaan H-7 sebelum debat kpd smw paslon. karena ada paslon yang takut maka #Pilpres2019 bubarkan saja... buat apa ikut kontestasi klo takut ditanya2x saat debat"",@Mrlsifikan,05/01/2018";;;
4;"Neg,""Rasanya aneh saja juga bila orang2 yang dikirim dalam debat justru adl orang-orang yg pandai membuat gaduh dan kontroversi dgn sikap defensif dan ofensif berlebihan, seperti sinetron saja. Kenapa tidak dimunculkan yg bisa benar berdiskusi/berdebat dgn baik. Aneh. #pilpres2019"",@lubis_mariska,05/01/2019";;;
5;"Neg,""Wkwkwk. akeh wong stres..sbg rakyat saya kok semakin semangat utk menjungkalkan Prabowo utk jadi presiden. Bismillah mulai mengorganisir rakyat kembali.#presidenku"",@haryaswanfood,03/02/2018";;;
6;"Neg,""Politic everywhere. Mau bodo amat tapi ya gimana. katanya yg muda penerus bangsa masa mau bodo amat terus #Pilpres2019"",@rufaliaruinnau,06/01/2019";;;
7;"Neg,""Prabowo melakukan pendekatan negatif ini yang berbahaya #NeoOrdeBaru #Pilpres2019"", @GreenKinara,05/01/2019";;;
8;"Neg,"" Orang gila digiring ke TPS buat simulasi Pemilu? Yang berpikir ini sepertinya kurang waras alias gila. ????}---&gt; #Pilpres2019#PemiluWaras#TPS#Hoax#SimulasiPemilu #OpiniVideo"",@RommyZury,04/01/2019";;;
9;"Neg,""Pak Prabowo kurang pantas menjadi RI-1..rekam jejaknya buruk sebagai mantan Danjen Kopassus di militer.#capreskardus#pilpres2019"",@ArdiMahardika15,05/01/2019";;;
